1stFlrSF,GarageArea,GrLivArea,YearBuilt
832,552,1935,2009
1175,831,2715,1976
1056,260,1056,1954
983,483,1796,1963
1035,0,1406,1920
1258,648,1258,2006
960,240,1740,1940
2402,672,2402,2008
702,343,1481,1994
832,336,1216,1947
1340,396,1340,2007
865,398,1310,1924
483,264,987,1973
958,686,1539,1904
1110,602,1110,1978
851,270,1502,1931
2084,1220,2084,2007
1216,325,1855,1954
816,816,816,1982
660,400,1320,2003
1686,711,2448,1994
798,520,1640,2004
848,420,848,2003
1051,442,1839,1966
845,360,845,1982
1898,564,2978,1967
1521,880,2775,1893
939,180,1513,1920
910,720,1385,1952
912,833,2127,1991
1072,528,1576,1923
1728,504,1728,1963
1337,405,1337,1998
661,552,1250,1910
1077,205,1077,1939
1143,852,2473,2004
1349,539,1349,2000
1052,440,1052,1971
920,608,1786,2001
860,440,1960,2002
1442,615,1442,1970
872,300,1393,1955
1039,504,1039,1965
1060,270,1060,1968
1856,834,1856,2010
1582,390,1582,1964
802,402,1472,1991
1136,532,2019,1910
1118,551,2030,1976
916,164,1826,1915
1571,722,1571,2007
1168,530,1968,1969
1656,506,1656,1973
1567,714,1567,1977
1339,294,1339,1958
630,280,1302,1971
1026,936,1958,2005
1298,403,1298,1985
734,372,1838,2005
1792,874,1792,2003
1502,528,1502,1985
894,336,894,1965
483,264,987,1973
882,461,882,1972
1505,505,1505,1953
876,720,1416,1915
1601,478,1601,1978
1652,482,1652,2008
1252,451,1920,1958
1163,220,1163,1955
1836,484,1836,2004
1717,908,1717,2006
1200,555,1200,2003
1048,288,1558,1945
1694,776,1694,2008
1048,286,1048,1956
786,676,1590,2008
1839,416,1839,1957
1274,508,1274,2005
968,480,968,1923
1940,380,3194,1934
764,504,764,1925
1040,400,1040,1950
1004,420,1664,1947
707,240,1389,1946
2444,832,4316,1994
1005,672,1005,1955
1535,410,1535,1979
794,388,1470,1997
1284,647,2169,2002
616,603,1688,1997
939,639,1797,2006
1220,556,2090,1995
2097,1134,2097,2005
694,352,694,1913
1166,400,1166,2005
1136,240,1904,1950
1168,315,1846,1949
952,192,952,1916
720,0,720,1920
1057,246,1057,1953
1734,1020,2822,2008
1217,497,1217,1990
1574,824,1574,2006
1235,480,1235,1961
1766,478,1766,2009
1811,470,1811,1956
1616,608,1616,1995
1535,532,1535,2004
1134,656,2504,2005
1575,529,1575,1992
1718,826,1718,2007
990,576,990,1995
855,440,1441,1978
909,512,1716,1996
1306,756,1306,1957
1096,432,1991,1932
708,0,708,1940
858,684,858,1971
2000,888,2000,2004
928,252,928,1956
1318,539,1902,1978
1572,995,1572,1963
2069,694,2643,2006
1088,1025,1959,2006
747,528,747,1926
1178,439,1178,1973
916,424,1742,1882
1165,420,2263,1998
1720,527,1720,1996
1080,484,1080,1983
768,240,1200,1946
1006,0,1006,1959
1632,338,1632,1958
1144,596,1144,1956
846,650,1692,2009
961,384,1367,1900
1652,499,1652,2000
1559,812,1559,1948
1028,360,1028,1927
1726,786,1726,2007
1601,670,1601,2001
971,300,971,1969
1838,765,1838,2006
1502,644,1502,2009
1248,438,1248,2005
1675,870,3493,1880
988,240,1505,1940
829,441,1556,1968
894,450,894,1968
900,288,900,1967
1560,573,1560,2003
944,622,1840,2001
902,492,1820,1965
672,280,924,1941
990,299,990,1994
1194,539,1194,1959
912,160,1248,1930
1040,484,1040,1977
630,0,630,1972
1456,400,1456,2003
1252,528,1252,1959
1253,402,1253,1995
970,624,970,1963
816,308,816,1957
1264,666,2576,2006
798,0,1344,1970
848,281,1520,1932
1004,480,1004,1970
832,324,1482,1920
953,460,1664,2000
1644,569,1644,1989
756,216,1469,1906
847,434,1928,2003
2000,538,2704,1972
902,288,902,1967
1112,438,1550,2006
1301,572,1301,2006
1664,0,1664,1965
716,432,1432,2004
1113,689,1971,2005
1264,461,1264,1960
483,264,987,1972
999,264,999,1962
1625,538,1625,2006
1657,484,1657,1970
1200,0,1200,1987
835,366,835,1920
1214,721,2520,1995
1182,509,2142,1968
1062,574,1949,1993
1008,240,1008,1953
956,618,2084,2004
1360,572,1360,1955
1484,487,1484,1971
1787,748,1787,2001
1414,494,1414,2004
2117,550,2117,1970
1236,447,1236,1957
1848,706,2728,2005
1314,626,1314,2007
1001,871,2002,1949
816,516,816,1963
796,384,1346,1910
780,352,780,1972
728,440,1456,2006
1922,676,1922,2005
630,264,1302,1972
894,1248,894,1935
1134,254,1134,1960
1002,902,1002,1970
672,440,1386,1978
901,281,901,1954
858,490,1716,1962
1269,308,1269,1960
1699,336,2447,1919
1095,264,1095,1958
882,588,1790,1999
840,379,1605,1915
625,625,1250,2006
1188,312,1188,1962
778,924,778,1940
546,286,1092,1970
1795,895,1795,2006
1694,818,1694,2007
999,588,999,1961
1299,531,1872,2001
1060,572,1060,1976
864,576,864,1972
1130,720,1130,1920
1616,834,1616,2005
847,434,1959,2004
1776,712,1776,2006
1500,570,1500,2004
1040,0,1040,1978
1158,853,2376,2005
803,297,1360,1938
1020,440,1851,1964
877,216,1477,1928
864,400,864,1951
1733,452,1733,1955
698,0,698,1947
976,380,1708,2004
1138,264,1138,1958
1120,753,1970,2006
948,300,948,1968
980,554,2256,2000
880,527,1724,1998
1314,294,1314,1957
1390,576,1694,1925
616,336,1304,1976
686,280,1250,1918
773,240,773,1953
1144,456,1144,1961
1489,776,1489,2006
1436,484,1436,2004
827,550,1661,1996
1453,750,2810,1990
1297,498,1297,1954
1661,377,1661,1955
1118,358,1118,1977
990,0,990,1994
893,576,893,1949
882,546,1796,1998
1516,518,2167,1974
483,264,987,1971
1392,528,1392,1957
1212,460,1212,2009
1080,678,2097,1993
804,240,804,1940
1069,440,1069,1977
1073,515,1073,1965
816,0,816,1990
1096,566,1466,1936
1040,420,1040,1950
1302,436,1302,2007
1828,774,1828,2007
1214,318,1214,1967
885,427,1718,1998
1651,616,1651,1986
751,502,1362,1920
1150,300,1150,1959
757,440,1501,1999
663,299,1352,1969
1050,368,1050,1961
1276,282,2080,1926
780,544,1375,1937
1053,312,1053,1959
1077,338,1077,1920
630,286,630,1970
864,660,864,1970
1002,280,1456,1948
1434,527,1434,2001
1414,398,1414,2004
1530,430,1530,2005
1702,1052,1702,2008
804,560,1961,2001
808,389,1593,1992
1689,857,1689,2002
2223,516,2223,1973
833,0,833,1985
884,216,1348,1925
1831,807,3627,1995
1661,598,1661,1998
996,0,996,1940
960,288,960,1956
798,595,1640,2003
1006,425,1775,1993
1223,525,2127,1994
1494,840,1494,2006
864,280,864,1970
728,390,1456,2005
1053,648,1992,2003
2076,850,2076,2006
772,264,1123,1939
1221,672,1912,1905
572,0,1096,1924
1113,504,1113,1976
1020,180,2057,1936
1490,810,2794,1995
962,451,1792,2000
1238,628,2519,1989
928,470,1764,1997
708,776,1416,1968
764,474,1626,2003
764,474,1626,2003
1040,384,1040,1965
1088,240,1529,1945
1680,528,1680,1976
696,484,1416,1999
864,720,864,1950
849,240,1660,1934
1414,601,1414,1958
1520,364,1520,1955
1360,795,3112,1918
792,400,1517,1929
764,614,1547,2009
1314,552,1314,2009
1394,514,1394,1963
1445,645,1445,1964
1344,525,1344,1958
1057,576,1057,1962
1680,583,1680,1998
1306,0,1306,1940
729,440,1458,1999
798,220,1487,1945
864,336,864,1978
1088,461,1088,1986
1062,539,1062,1976
616,200,1111,1941
820,186,1343,1921
963,564,1792,2001
1117,672,1117,1976
1112,230,2008,1948
1584,792,1584,1967
1337,531,1337,2003
1089,240,1750,1880
1523,478,1523,1976
1061,564,1923,1992
1040,648,1040,1963
1316,397,1316,2005
984,660,1604,1941
1422,779,2599,1999
728,410,1456,2005
914,576,914,1996
1478,498,1478,1960
1377,786,2183,1988
616,432,1412,2006
780,198,1376,1937
1486,480,1486,1964
1240,826,1240,2006
1646,800,1646,2007
1407,870,2392,1997
989,240,1573,1935
576,288,1109,1971
1844,620,1844,2005
1647,621,1647,1977
1533,576,1533,1975
996,564,996,1992
3138,884,4676,2007
769,440,1573,2000
1283,506,1283,1962
1541,532,1541,2005
1003,588,1003,1984
1004,660,1852,1999
480,308,480,1949
1136,872,2468,2004
1768,0,1768,1968
1850,772,1850,2004
1127,540,1977,1964
1124,0,1124,1954
892,288,892,1967
983,423,1750,1940
1056,304,1056,1968
814,663,1674,2000
882,0,882,1956
768,624,768,1970
869,0,869,1923
858,576,858,1982
2515,484,2515,1957
624,462,1252,1999
1026,440,1026,1969
1291,431,1291,1996
912,576,912,1965
1479,577,1479,1999
860,234,1564,1941
660,453,1348,1966
1826,758,1826,2005
1381,676,1381,1972
1572,726,2668,2003
1494,530,1494,2002
1555,430,1555,2005
1015,450,1015,1925
1336,375,1336,1953
798,442,1611,1964
697,300,1369,1925
894,308,894,1976
649,250,1317,1920
764,492,1441,1999
747,220,747,1945
1402,648,1402,2006
1077,210,1077,1922
848,420,848,2003
1244,336,1244,1957
1604,660,1604,2006
1078,500,1078,1971
672,576,924,1949
951,327,951,1936
1164,528,1164,1969
1159,336,1159,1968
1569,660,1569,2007
864,288,864,1972
900,576,900,1951
1047,273,1047,1885
1518,670,2149,2003
1472,588,1472,1980
1140,477,1868,1984
827,392,827,1955
1276,350,1276,1958
986,180,986,1926
1332,586,1524,1979
1057,645,2034,1997
1199,530,1199,1993
1537,462,1537,1962
1779,454,1779,1955
1652,840,1652,2006
936,576,1252,1908
1161,534,1969,1977
1629,808,1629,2002
1160,538,2126,1967
920,492,1861,2002
1137,551,1137,1987
1249,840,2596,2006
1277,526,1277,1970
1086,409,1895,1994
812,392,1482,1992
1075,360,2138,1898
672,240,672,1940
1028,442,1804,1999
1640,924,1640,1954
948,248,948,1954
1086,592,1924,1998
904,408,904,1966
1057,650,1929,2001
1619,529,1786,1965
936,474,1776,2002
1125,352,1125,1976
1153,541,2031,1998
1145,397,1145,2005
1547,672,2320,1948
808,180,1656,1916
901,216,1802,1920
842,250,1472,1925
1098,483,1964,1976
806,373,1572,1995
1164,521,2060,1988
859,384,1178,1900
1378,432,2372,1892
796,0,796,1922
1507,404,1507,1960
1086,490,1086,1954
988,520,988,1954
1272,0,2200,1900
864,576,864,1971
1288,500,1288,1996
1186,486,1986,1965
1419,567,1419,2007
1466,610,1466,2007
1844,546,1844,1977
1416,576,1416,1918
2069,505,2069,1960
630,440,1302,1970
1120,0,1120,2007
1041,539,1743,1968
673,490,1382,2000
1742,564,1742,1985
925,336,1475,1977
1236,288,1236,1961
952,840,952,1951
1132,451,1132,2005
816,432,816,1930
1444,389,2144,1958
1482,749,2262,2003
572,288,1111,1926
1684,564,1684,2005
848,420,848,2004
928,288,928,1957
630,286,630,1970
1636,865,1636,2006
1454,504,1936,2000
1126,520,1126,1949
1060,520,1824,1919
1316,440,1316,2007
1442,301,1442,1958
2121,732,2121,2006
546,286,1092,1970
691,216,691,1920
1210,683,2452,1998
954,440,2230,1912
1719,473,1719,1993
1636,0,3086,1946
1535,400,1535,1979
943,472,1638,1998
848,420,848,2003
1803,484,1803,1957
936,576,936,1953
1220,396,1220,1951
1105,480,2274,1960
698,280,1258,1939
1593,682,1593,2001
2411,813,4476,1996
1518,588,1518,2003
904,180,904,1926
596,189,1192,1920
894,600,894,1972
2110,522,2110,1968
874,578,1761,2007
1234,656,2374,2003
2392,968,2392,2003
1800,0,1800,1961
689,299,1392,1977
818,210,1224,1926
720,484,720,1928
1699,594,3222,1990
892,180,1784,1914
1338,582,1338,2001
1103,440,1103,1925
1478,484,1478,2009
820,0,1347,1910
1056,572,1056,1955
765,440,1365,1971
997,548,1470,1954
944,240,1489,1940
1026,812,2007,2008
968,216,968,1927
1212,492,1212,1977
2158,576,2158,1950
1776,888,1776,1958
1350,520,1350,1964
993,642,2236,1997
612,528,1224,2009
912,615,2094,2003
1032,672,1812,1900
936,0,1716,1912
1164,671,2270,1999
961,642,1717,1915
1362,460,1362,2005
1242,528,1242,1973
1428,480,1428,2007
864,352,864,1972
1287,576,1287,1959
2633,804,2633,2001
847,434,1948,2004
1405,478,1405,2003
1229,284,1229,1956
1203,844,2526,1994
1097,480,1097,1984
1968,1014,3447,1935
525,264,1092,1971
1987,691,1987,1994
1392,458,1392,1957
864,624,864,1958
1362,504,1362,1961
1097,672,1097,1994
1073,326,1073,1921
1256,276,1256,1965
907,352,907,1957
848,420,848,2004
1338,968,2634,1969
3228,546,3228,1992
1014,420,1699,1900
1208,632,1208,2006
1226,740,1226,2009
689,360,1378,1928
1372,656,2646,1993
1479,558,1479,2003
1294,496,1294,1991
1042,225,1576,1928
1752,576,1752,2005
334,0,334,1946
788,0,788,1941
1600,319,1600,1957
1128,525,1128,1963
1188,531,1188,1959
864,360,864,1965
1055,462,1845,1992
789,200,789,1926
1442,500,1442,1990
672,234,672,1941
720,287,720,1949
990,672,990,1994
1195,486,1839,1998
1561,556,1561,2005
965,300,965,1965
894,400,894,1954
832,546,1641,1925
1426,641,2945,2006
864,673,1728,2003
774,0,774,1931
1148,281,1716,1949
1155,576,1155,1961
1158,576,1158,2004
1494,576,1494,1997
807,393,1509,2003
1304,667,2287,1953
882,294,882,1959
1428,554,1428,2008
959,560,1367,1931
960,308,960,1920
1170,360,2345,1932
1382,459,1382,1963
742,440,1471,1999
884,543,1768,2003
943,600,943,1979
1548,624,2614,1974
1136,384,1136,1965
894,384,894,1966
1095,1053,1939,2006
1268,244,1268,1954
1090,450,1090,2005
1496,474,1496,2007
1482,868,2574,2007
908,440,1928,1910
1319,270,1319,1953
892,502,1675,1999
1149,779,2290,2002
1214,461,1214,1965
1088,0,1198,1920
1500,712,2622,1994
1040,504,2080,1969
1112,271,1668,1950
1436,180,2320,1945
672,440,1400,1978
1588,825,1588,2006
2898,665,2898,1976
1050,836,2078,2007
800,0,800,1936
792,240,792,1924
1226,240,1818,1931
703,540,1392,2007
1258,400,1258,1969
1187,400,1717,1990
1041,270,1041,1959
1156,505,2022,1977
1364,484,1364,2005
1067,576,1539,1936
520,240,520,1927
1145,836,2198,2000
1072,240,1285,1948
1022,390,2060,1999
1246,560,2290,1885
918,240,1646,1941
1044,504,1044,1952
1184,550,2610,2007
1173,528,1173,1974
796,0,796,1910
1036,288,1268,1949
1629,880,1629,2003
838,275,838,1918
894,668,1933,2007
1566,750,1566,2008
1383,834,2398,1996
1192,240,1595,1940
1086,484,1086,1966
864,0,864,1922
1742,846,2332,2007
804,400,1474,1995
1224,402,1224,1999
1053,370,1848,1923
1056,384,1056,1966
1465,596,2380,1965
840,500,1668,2003
1021,300,1601,1958
918,440,1683,1978
1038,878,2098,2005
1368,474,1368,2005
